url,type
http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign
https://github.com/Jcharis/Machine-Learning-In-Julia-JCharisTech/blob/master/Detecting%20Malicious%20Url%20With%20Machine%20Learning%20In%20Python.ipynb,benign
https://sistema-internship-security.herokuapp.com/login,benign
https://sp.booking.com/index.html?aid=1535066&label=ptbr-edge-ntp-topsites-curate-ana,benign
https://mail.google.com/mail/u/0/#inbox,benign
https://www.google.com,benign
https://colab.research.google.com/drive/191wDRBa06E8_qWq4OAq9ZkY2uMiqFaH5?hl=pt-BR#scrollTo=0_znoIZwTiwk,benign
https://docs.google.com/document/d/1hKNvrhekSQjOavQmcH6hYzFHDdSDbTk9zR-BhzzDFks/edit,benign
https://web.whatsapp.com/,benign
https://sistemainternship-firebase.herokuapp.com/login,benign
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware
halkbankparaf-para.com,phishing
https://www.netflix.com/br,benign
https://console.firebase.google.com/u/0/project/apispring-4cb38/firestore/data/~2Falunos~2F1,benign
https://www.instagram.com,benign
https://drive.google.com/drive/u/0/,benign
